,lead,phase2,phase3,closed
2442,2015-10-16,,,
2443,2015-10-17,2015-11-06,2015-12-21,2015-12-21
2444,2015-10-18,,,
2445,2015-10-19,2015-11-16,2015-12-13,2015-12-26
2446,2015-10-20,,,
2447,2015-10-21,2015-12-03,2015-12-04,2015-12-04
2448,2015-10-22,,,
2449,2015-10-23,,,
2450,2015-10-24,,,
2451,2015-10-25,,,
2452,2015-10-26,,,
2453,2015-10-27,,,
2454,2015-10-28,2015-12-18,2016-01-02,2016-01-02
2455,2015-10-29,2015-12-16,2016-01-18,2016-01-18
2456,2015-10-30,2015-12-07,2015-12-29,2015-12-29
2457,2015-10-31,2015-12-17,2016-01-09,2016-01-09
2458,2015-11-01,,,
2459,2015-11-02,2015-12-03,2015-12-19,2016-01-01
2460,2015-11-04,2015-12-03,2015-12-03,2015-12-03
2461,2015-11-05,,,
2462,2015-11-06,,,
2463,2015-11-07,,,
2464,2015-11-08,,,
2465,2015-11-09,2015-12-01,2015-12-28,2015-12-28
2466,2015-11-10,2015-12-10,2015-12-28,2015-12-28
2467,2015-11-11,2015-12-24,2016-02-02,2016-02-02
2468,2015-11-12,2015-12-13,2015-12-13,2015-12-13
2469,2015-11-14,2015-12-12,2015-12-30,2016-01-15
2470,2015-11-15,2016-01-01,2016-02-04,2016-02-04
2471,2015-11-17,2015-12-17,2015-12-26,2015-12-26
2472,2015-11-19,2015-12-22,2015-12-31,2015-12-31
2473,2015-11-22,2015-12-16,2016-01-02,2016-01-02
2474,2015-11-23,,,
2475,2015-11-25,,,
2476,2015-11-26,,,
2477,2015-11-27,2016-01-18,2016-01-31,2016-01-31
2478,2015-11-28,2015-12-24,2016-01-16,2016-01-16
2479,2015-11-29,2015-12-21,2015-12-31,2015-12-31
2480,2015-11-30,2015-12-16,2016-01-17,2016-02-11
2481,2015-12-01,2016-01-05,2016-01-05,2016-01-05
2482,2015-12-02,2016-01-03,2016-01-18,2016-01-26
2483,2015-12-03,,,
2484,2015-12-04,,,
2485,2015-12-08,2016-01-10,2016-01-10,2016-01-10
2486,2015-12-10,,,
2487,2015-12-11,2016-01-25,2016-02-07,2016-02-09
2488,2015-12-12,2016-02-02,2016-03-02,2016-03-02
2489,2015-12-14,2016-02-09,2016-02-09,2016-02-09
2490,2015-12-15,2016-01-21,2016-02-14,2016-02-28
2491,2015-12-16,,,
2492,2015-12-17,,,
2493,2015-12-18,2016-01-05,2016-01-05,2016-01-05
2494,2015-12-21,2016-01-30,2016-02-21,2016-03-10
2495,2015-12-22,,,
2496,2015-12-23,,,
2497,2015-12-24,2016-01-12,2016-02-07,2016-02-07
2498,2015-12-26,2016-01-29,2016-02-29,2016-03-03
2499,2015-12-27,2016-01-25,2016-02-11,2016-02-17
2500,2015-12-30,2016-02-10,2016-03-09,2016-03-09
2501,2015-12-31,2016-02-26,2016-03-02,2016-03-02
2502,2016-01-01,2016-01-30,2016-01-30,2016-01-30
2503,2016-01-02,,,
2504,2016-01-03,,,
2505,2016-01-04,2016-02-13,2016-03-13,2016-04-05
2506,2016-01-05,,,
2507,2016-01-06,2016-03-06,2016-04-12,2016-04-12
2508,2016-01-07,,,
2509,2016-01-08,,,
2510,2016-01-09,2016-02-16,2016-02-16,2016-02-16
2511,2016-01-10,2016-02-23,2016-03-10,2016-03-10
2512,2016-01-11,2016-02-12,2016-02-21,2016-02-21
2513,2016-01-13,2016-02-06,2016-02-23,2016-02-23
2514,2016-01-14,2016-02-12,2016-02-12,2016-02-12
2515,2016-01-15,2016-02-08,2016-02-15,2016-02-29
2516,2016-01-16,,,
2517,2016-01-17,2016-01-23,2016-02-01,2016-02-12
2518,2016-01-18,,,
2519,2016-01-19,2016-02-21,2016-03-12,2016-03-26
2520,2016-01-20,2016-03-03,2016-03-19,2016-03-19
2521,2016-01-21,2016-02-20,2016-04-20,2016-04-20
2522,2016-01-22,2016-02-17,2016-03-01,2016-03-01
2523,2016-01-23,,,
2524,2016-01-24,2016-03-18,2016-04-17,2016-04-17
2525,2016-01-25,,,
2526,2016-01-26,2016-02-29,2016-03-26,2016-03-26
2527,2016-01-27,,,
2528,2016-01-28,,,
2529,2016-01-29,2016-03-19,2016-03-19,2016-03-19
2530,2016-01-30,2016-03-30,2016-04-30,2016-04-30
2531,2016-02-02,,,
2532,2016-02-03,2016-03-28,2016-04-02,2016-04-02
2533,2016-02-04,2016-03-10,2016-04-03,2016-04-13
2534,2016-02-05,2016-03-14,2016-04-09,2016-04-09
2535,2016-02-06,2016-03-28,2016-04-22,2016-05-11
2536,2016-02-07,2016-03-16,2016-04-21,2016-04-21
2537,2016-02-08,2016-03-24,2016-05-02,2016-05-22
2538,2016-02-09,2016-03-31,2016-04-15,2016-04-30
2539,2016-02-10,2016-02-19,2016-03-15,2016-03-15
2540,2016-02-11,2016-04-01,2016-05-02,2016-05-14
2541,2016-02-12,2016-03-03,2016-04-13,2016-04-13
2542,2016-02-13,2016-03-26,2016-04-21,2016-05-14
2543,2016-02-14,2016-04-13,2016-04-27,2016-05-10
2544,2016-02-15,2016-04-11,2016-04-27,2016-04-27
2545,2016-02-16,2016-04-03,2016-04-26,2016-05-10
2546,2016-02-17,,,
2547,2016-02-19,,,
2548,2016-02-21,2016-04-13,2016-05-05,2016-05-05
2549,2016-02-22,2016-03-16,2016-03-16,2016-03-16
2550,2016-02-24,2016-04-02,2016-05-12,2016-05-23
2551,2016-02-25,,,
2552,2016-02-26,,,
2553,2016-02-28,,,
2554,2016-02-29,2016-04-28,2016-04-28,2016-04-28
2555,2016-03-01,,,
2556,2016-03-02,,,
2557,2016-03-03,,,
2558,2016-03-05,2016-03-31,2016-03-31,2016-03-31
2559,2016-03-07,,,
2560,2016-03-08,,,
2561,2016-03-11,,,
2562,2016-03-12,2016-05-08,2016-05-29,2016-05-29
2563,2016-03-14,2016-04-07,2016-05-23,2016-05-23
2564,2016-03-15,2016-04-07,2016-05-02,2016-05-10
2565,2016-03-16,2016-04-09,2016-06-01,
2566,2016-03-17,2016-04-25,2016-04-25,2016-04-25
2567,2016-03-18,,,
2568,2016-03-19,2016-05-07,2016-05-23,2016-05-27
2569,2016-03-20,,,
2570,2016-03-21,2016-03-27,2016-03-27,2016-03-27
2571,2016-03-22,2016-04-17,2016-05-04,2016-05-16
2572,2016-03-23,,,
2573,2016-03-24,2016-04-21,2016-05-09,2016-05-09
2574,2016-03-25,2016-05-09,2016-06-08,
2575,2016-03-26,,,
2576,2016-03-28,2016-04-22,2016-05-02,2016-05-02
2577,2016-03-31,2016-04-18,2016-05-05,2016-05-05
2578,2016-04-01,2016-05-07,2016-06-02,2016-06-02
2579,2016-04-02,2016-05-09,2016-06-03,2016-06-03
2580,2016-04-03,,,
2581,2016-04-04,2016-04-22,2016-05-10,2016-05-10
2582,2016-04-07,2016-05-24,,
2583,2016-04-08,,,
2584,2016-04-09,2016-04-25,2016-05-25,2016-05-25
2585,2016-04-10,2016-05-07,2016-06-04,2016-06-04
2586,2016-04-11,2016-05-25,2016-06-08,2016-06-08
2587,2016-04-12,2016-04-25,2016-05-15,2016-05-15
2588,2016-04-13,2016-05-17,2016-05-17,2016-05-17
2589,2016-04-14,2016-05-30,2016-06-15,2016-06-15
2590,2016-04-15,2016-04-20,2016-04-20,2016-04-20
2591,2016-04-16,,,
2592,2016-04-18,2016-05-12,,
2593,2016-04-21,,,
2594,2016-04-22,,,
2595,2016-04-23,2016-05-01,2016-05-01,2016-05-01
2596,2016-04-24,2016-05-29,2016-05-29,2016-05-29
2597,2016-04-25,,,
2598,2016-04-26,,,
2599,2016-04-27,,,
2600,2016-04-29,2016-06-03,,
2601,2016-05-01,2016-05-26,2016-05-26,2016-05-26
2602,2016-05-04,2016-06-15,,
2603,2016-05-06,2016-05-16,2016-06-04,2016-06-04
2604,2016-05-08,2016-05-11,2016-06-13,
2605,2016-05-10,2016-06-04,,
2606,2016-05-11,2016-05-30,,
2607,2016-05-12,2016-06-04,,
2608,2016-05-13,,,
2609,2016-05-15,2016-06-13,,
2610,2016-05-18,2016-06-07,,
2611,2016-05-19,,,
2612,2016-05-20,,,
2613,2016-05-21,,,
2614,2016-05-22,,,
2615,2016-05-23,,,
2616,2016-05-25,,,
2617,2016-05-26,,,
2618,2016-05-27,,,
2619,2016-05-28,,,
2620,2016-05-29,,,
2621,2016-05-30,,,
2622,2016-05-31,,,
2623,2016-06-01,,,
2624,2016-06-02,,,
2625,2016-06-03,,,
2626,2016-06-04,,,
2627,2016-06-06,,,
2628,2016-06-07,,,
2629,2016-06-08,,,
2630,2016-06-09,,,
2631,2016-06-10,2016-06-14,,
2632,2016-06-11,,,
2633,2016-06-12,,,
2634,2016-06-13,,,
2635,2016-06-14,,,
2636,2016-06-15,,,
2637,2015-06-18,2015-08-08,2015-08-24,2015-09-14
2638,2015-06-19,,,
2639,2015-06-20,,,
2640,2015-06-21,2015-07-14,2015-07-14,2015-07-14
2641,2015-06-22,,,
2642,2015-06-23,2015-07-24,2015-07-24,2015-07-24
2643,2015-06-25,,,
2644,2015-06-26,2015-08-12,2015-09-16,2015-09-16
2645,2015-06-28,,,
2646,2015-06-29,,,
2647,2015-06-30,2015-08-13,2015-08-31,2015-09-13
2648,2015-07-02,2015-08-18,2015-08-29,2015-08-29
2649,2015-07-03,2015-07-12,2015-07-27,2015-07-27
2650,2015-07-04,2015-08-10,2015-08-31,2015-08-31
2651,2015-07-05,2015-08-05,2015-09-03,2015-09-03
2652,2015-07-06,2015-08-06,2015-08-26,2015-08-26
2653,2015-07-07,2015-08-16,2015-09-12,2015-09-12
2654,2015-07-08,2015-09-16,2015-09-16,2015-09-16
2655,2015-07-10,2015-08-24,2015-08-24,2015-08-24
2656,2015-07-11,2015-08-03,2015-08-20,2015-09-14
2657,2015-07-12,,,
2658,2015-07-14,,,
2659,2015-07-16,,,
2660,2015-07-17,,,
2661,2015-07-18,2015-07-25,2015-08-16,2015-08-16
2662,2015-07-19,,,
2663,2015-07-20,2015-09-06,2015-10-11,2015-10-11
2664,2015-07-21,2015-08-01,2015-08-20,2015-08-20
2665,2015-07-22,,,
2666,2015-07-24,2015-09-13,2015-09-13,2015-09-13
2667,2015-07-25,,,
2668,2015-07-26,2015-08-30,2015-09-17,2015-10-07
2669,2015-07-27,2015-09-09,2015-09-09,2015-09-09
2670,2015-07-28,2015-09-04,2015-09-10,2015-09-24
2671,2015-08-01,2015-09-16,2015-09-16,2015-09-16
2672,2015-08-02,2015-09-24,2015-09-24,2015-09-24
2673,2015-08-03,2015-08-30,2015-08-30,2015-08-30
2674,2015-08-04,,,
2675,2015-08-08,2015-09-11,2015-10-13,2015-10-26
2676,2015-08-09,,,
2677,2015-08-10,,,
2678,2015-08-11,2015-08-29,2015-08-29,2015-08-29
2679,2015-08-12,2015-09-12,2015-09-12,2015-09-12
2680,2015-08-13,,,
2681,2015-08-14,,,
2682,2015-08-16,2015-10-06,2015-10-31,2015-11-14
2683,2015-08-18,2015-09-14,2015-10-02,2015-10-14
2684,2015-08-19,,,
2685,2015-08-20,,,
2686,2015-08-22,2015-09-06,2015-09-09,2015-09-09
2687,2015-08-24,,,
2688,2015-08-26,2015-10-02,2015-10-22,2015-10-22
2689,2015-08-27,2015-09-13,2015-09-14,2015-09-14
2690,2015-08-28,,,
2691,2015-08-30,,,
2692,2015-09-01,2015-10-18,2015-10-18,2015-10-18
2693,2015-09-02,,,
2694,2015-09-03,2015-10-21,2015-10-21,2015-10-21
2695,2015-09-04,2015-10-05,2015-10-13,2015-10-13
2696,2015-09-05,2015-10-19,2015-10-20,2015-10-29
2697,2015-09-06,2015-11-16,2015-11-16,2015-11-16
2698,2015-09-07,,,
2699,2015-09-08,2015-09-13,2015-10-17,2015-10-28
2700,2015-09-09,2015-09-28,2015-09-28,2015-09-28
2701,2015-09-10,2015-10-25,2015-10-25,2015-10-25
2702,2015-09-11,,,
2703,2015-09-12,2015-10-25,2015-10-25,2015-10-25
2704,2015-09-13,2015-10-20,2015-11-18,2015-12-09
2705,2015-09-14,2015-10-06,2015-10-20,2015-10-20
2706,2015-09-15,2015-10-22,2015-10-30,2015-11-10
2707,2015-09-16,,,
2708,2015-09-17,2015-10-11,2015-10-11,2015-10-11
2709,2015-09-19,2015-10-12,2015-10-31,2015-10-31
2710,2015-09-21,2015-10-23,2015-11-06,2015-11-06
2711,2015-09-22,2015-10-25,2015-10-29,2015-10-29
2712,2015-09-23,,,
2713,2015-09-25,,,
2714,2015-09-26,2015-11-18,2015-12-10,2015-12-25
2715,2015-09-27,2015-11-05,2015-12-10,2015-12-10
2716,2015-09-29,2015-11-03,2015-11-28,2015-12-18
2717,2015-09-30,,,
2718,2015-10-01,,,
2719,2015-10-02,,,
2720,2015-10-03,2015-11-10,2015-11-23,2015-11-23
2721,2015-10-05,2015-11-08,2015-11-15,2015-11-15
2722,2015-10-06,,,
2723,2015-10-07,2015-10-28,2015-11-11,2015-11-29
2724,2015-10-08,2015-12-02,2016-01-03,2016-01-03
2725,2015-10-09,2015-11-15,2015-11-27,2015-11-27
2726,2015-10-10,2015-11-25,2015-12-09,2015-12-27
2727,2015-10-11,,,
2728,2015-10-12,2015-12-05,2015-12-09,2015-12-21
2729,2015-10-13,2015-12-09,2015-12-09,2015-12-09
2730,2015-10-14,2015-11-28,2015-12-25,2016-01-08
2731,2015-10-17,,,
2732,2015-10-18,2015-11-20,2015-11-30,2015-12-11
2733,2015-10-19,2015-12-06,2015-12-06,2015-12-06
2734,2015-10-21,2015-11-23,2015-12-05,2015-12-14
2735,2015-10-22,,,
2736,2015-10-23,2015-12-01,2015-12-30,2015-12-30
2737,2015-10-24,2015-12-09,2016-01-07,2016-01-08
2738,2015-10-25,2015-11-25,2015-12-17,2015-12-30
2739,2015-10-26,2015-11-25,2015-12-10,2015-12-10
2740,2015-10-27,2015-12-23,2016-01-23,2016-01-23
2741,2015-10-28,,,
2742,2015-10-29,,,
2743,2015-10-31,2015-11-29,2015-11-30,2015-11-30
2744,2015-11-01,2015-11-28,2015-12-31,2016-01-12
2745,2015-11-02,2015-12-20,2016-01-05,2016-01-25
2746,2015-11-03,,,
2747,2015-11-04,,,
2748,2015-11-06,2015-12-29,2015-12-29,2015-12-29
2749,2015-11-08,,,
2750,2015-11-09,,,
2751,2015-11-10,2015-12-26,2016-01-19,2016-02-07
2752,2015-11-11,,,
2753,2015-11-12,,,
2754,2015-11-13,,,
2755,2015-11-14,,,
2756,2015-11-15,2016-01-05,2016-01-18,2016-01-30
2757,2015-11-17,2015-12-03,2015-12-17,2015-12-17
2758,2015-11-18,,,
2759,2015-11-19,2015-12-18,2016-01-18,2016-01-25
2760,2015-11-20,,,
2761,2015-11-21,2016-01-18,2016-01-27,2016-01-27
2762,2015-11-22,,,
2763,2015-11-23,2015-12-05,2015-12-05,2015-12-05
2764,2015-11-25,2015-12-19,2016-01-18,2016-01-18
2765,2015-11-26,,,
2766,2015-11-27,2016-01-10,2016-01-10,2016-01-10
2767,2015-11-28,2016-01-18,2016-03-04,2016-03-04
2768,2015-11-29,2015-12-26,2016-01-05,2016-01-05
2769,2015-11-30,,,
2770,2015-12-01,2016-01-17,2016-02-24,2016-02-29
2771,2015-12-02,2016-01-10,2016-02-13,2016-02-28
2772,2015-12-04,2016-01-01,2016-01-09,2016-01-09
2773,2015-12-05,2016-01-10,2016-01-15,2016-02-07
2774,2015-12-06,2015-12-10,2015-12-19,2015-12-19
2775,2015-12-08,,,
2776,2015-12-09,2016-01-06,2016-02-02,2016-02-03
2777,2015-12-10,2016-01-04,2016-01-21,2016-02-04
2778,2015-12-12,,,
2779,2015-12-15,2016-01-28,2016-02-20,2016-02-20
2780,2015-12-19,2015-12-25,2016-01-09,2016-01-19
2781,2015-12-20,2016-01-26,2016-02-09,2016-02-09
2782,2015-12-23,,,
2783,2015-12-25,2016-03-14,2016-03-27,2016-03-27
2784,2015-12-26,2016-01-21,2016-01-21,2016-01-21
2785,2015-12-27,2016-02-07,2016-02-08,2016-02-08
2786,2015-12-28,,,
2787,2015-12-29,2016-01-31,2016-02-08,2016-02-08
2788,2015-12-30,2016-02-18,2016-03-10,2016-04-03
2789,2015-12-31,,,
2790,2016-01-01,,,
2791,2016-01-03,2016-02-19,2016-03-03,2016-03-21
2792,2016-01-04,2016-02-12,2016-02-12,2016-02-12
2793,2016-01-05,2016-01-27,2016-02-27,2016-02-27
2794,2016-01-06,2016-03-09,2016-03-25,2016-03-25
2795,2016-01-08,2016-02-12,2016-02-12,2016-02-12
2796,2016-01-10,,,
2797,2016-01-11,2016-01-29,2016-02-22,2016-03-04
2798,2016-01-12,2016-02-19,2016-03-05,2016-03-05
2799,2016-01-14,2016-02-08,2016-03-18,2016-03-18
2800,2016-01-15,2016-01-16,2016-01-20,2016-01-30
2801,2016-01-16,,,
2802,2016-01-17,,,
2803,2016-01-18,2016-02-08,2016-03-07,2016-03-07
2804,2016-01-19,2016-03-08,2016-03-28,2016-03-28
2805,2016-01-20,2016-02-23,2016-03-10,2016-03-10
2806,2016-01-21,2016-02-07,2016-03-02,2016-03-09
2807,2016-01-22,2016-02-19,2016-03-07,2016-03-21
2808,2016-01-23,2016-03-12,2016-03-23,2016-03-23
2809,2016-01-24,2016-03-12,2016-04-28,2016-05-04
2810,2016-01-25,2016-02-29,2016-03-18,2016-03-21
2811,2016-01-26,,,
2812,2016-01-27,2016-03-13,2016-03-13,2016-03-13
2813,2016-01-28,,,
2814,2016-01-29,2016-03-20,2016-04-12,2016-05-01
2815,2016-01-30,,,
2816,2016-01-31,2016-03-11,2016-04-10,2016-04-10
2817,2016-02-01,2016-02-02,2016-03-05,2016-03-05
2818,2016-02-02,2016-02-20,2016-03-16,2016-03-16
2819,2016-02-03,2016-02-29,2016-03-23,2016-03-23
2820,2016-02-07,,,
2821,2016-02-08,,,
2822,2016-02-09,2016-03-30,2016-04-26,2016-04-26
2823,2016-02-10,,,
2824,2016-02-11,2016-03-27,2016-05-17,2016-05-27
2825,2016-02-13,2016-04-02,2016-04-27,2016-04-27
2826,2016-02-14,,,
2827,2016-02-15,2016-04-06,2016-04-26,2016-05-09
2828,2016-02-18,,,
2829,2016-02-20,2016-04-01,2016-04-29,2016-04-29
2830,2016-02-21,2016-03-22,2016-04-14,2016-04-14
2831,2016-02-22,2016-03-29,2016-04-24,2016-04-24
2832,2016-02-25,2016-03-29,2016-03-29,2016-03-29
2833,2016-02-27,,,
2834,2016-02-28,,,
2835,2016-03-02,,,
2836,2016-03-03,2016-04-12,2016-04-24,2016-05-25
2837,2016-03-04,2016-03-31,2016-03-31,2016-03-31
2838,2016-03-05,2016-04-04,2016-04-20,2016-04-20
2839,2016-03-06,2016-04-24,2016-04-24,2016-04-24
2840,2016-03-09,,,
2841,2016-03-10,,,
2842,2016-03-11,2016-04-19,2016-04-19,2016-04-19
2843,2016-03-12,2016-03-13,2016-04-12,2016-04-12
2844,2016-03-13,,,
2845,2016-03-14,,,
2846,2016-03-15,2016-04-08,2016-05-10,2016-05-10
2847,2016-03-16,2016-04-07,2016-04-07,2016-04-07
2848,2016-03-17,,,
2849,2016-03-19,2016-04-05,2016-04-27,2016-04-27
2850,2016-03-20,2016-04-16,2016-05-31,2016-05-31
2851,2016-03-21,2016-04-18,2016-05-21,2016-05-21
2852,2016-03-22,2016-04-29,2016-06-02,2016-06-02
2853,2016-03-23,2016-05-09,2016-06-02,2016-06-02
2854,2016-03-24,,,
2855,2016-03-26,2016-05-14,2016-06-07,
2856,2016-03-27,,,
2857,2016-03-29,,,
2858,2016-03-30,2016-06-07,,
2859,2016-04-01,2016-05-10,,
2860,2016-04-02,2016-05-26,,
2861,2016-04-03,,,
2862,2016-04-04,2016-04-14,2016-05-15,2016-05-30
2863,2016-04-06,2016-04-22,2016-04-28,2016-04-28
2864,2016-04-07,2016-05-21,2016-06-03,2016-06-03
2865,2016-04-08,,,
2866,2016-04-09,,,
2867,2016-04-10,2016-06-02,2016-06-02,2016-06-02
2868,2016-04-11,2016-04-24,2016-05-21,2016-05-21
2869,2016-04-12,2016-06-13,,
2870,2016-04-13,2016-05-22,,
2871,2016-04-14,,,
2872,2016-04-16,2016-04-20,2016-05-10,2016-05-25
2873,2016-04-17,2016-05-21,2016-06-05,
2874,2016-04-19,,,
2875,2016-04-21,2016-06-12,,
2876,2016-04-22,2016-05-11,2016-06-09,2016-06-09
2877,2016-04-24,2016-06-09,,
2878,2016-04-25,,,
2879,2016-04-26,,,
2880,2016-04-27,,,
2881,2016-04-28,2016-06-10,,
2882,2016-04-30,,,
2883,2016-05-01,2016-06-02,,
2884,2016-05-02,2016-06-02,,
2885,2016-05-03,2016-06-03,,
2886,2016-05-04,,,
2887,2016-05-05,,,
2888,2016-05-07,,,
2889,2016-05-09,,,
2890,2016-05-10,2016-06-12,,
2891,2016-05-11,,,
2892,2016-05-12,,,
2893,2016-05-13,,,
2894,2016-05-14,,,
2895,2016-05-16,,,
2896,2016-05-17,,,
2897,2016-05-18,,,
2898,2016-05-19,,,
2899,2016-05-22,,,
2900,2016-05-23,,,
2901,2016-05-24,,,
2902,2016-05-25,,,
2903,2016-05-26,,,
2904,2016-05-29,,,
2905,2016-05-30,,,
2906,2016-05-31,,,
2907,2016-06-01,,,
2908,2016-06-02,2016-06-03,,
2909,2016-06-03,,,
2910,2016-06-04,,,
2911,2016-06-05,,,
2912,2016-06-07,,,
2913,2016-06-08,,,
2914,2016-06-09,2016-06-13,,
2915,2016-06-10,,,
2916,2016-06-11,,,
2917,2016-06-13,,,
2918,2016-06-15,,,
2919,2015-06-17,2015-07-22,2015-07-22,2015-07-22
2920,2015-06-19,2015-07-26,2015-08-20,2015-09-06
2921,2015-06-20,2015-07-22,2015-07-23,2015-07-23
2922,2015-06-21,2015-07-29,2015-08-25,2015-08-25
2923,2015-06-22,,,
2924,2015-06-23,,,
2925,2015-06-25,2015-08-14,2015-08-14,2015-08-14
2926,2015-06-26,2015-08-06,2015-08-21,2015-08-21
2927,2015-06-27,2015-07-30,2015-07-30,2015-07-30
2928,2015-06-28,,,
2929,2015-06-29,2015-08-15,2015-09-23,2015-09-23
2930,2015-06-30,2015-07-31,2015-08-05,2015-08-05
2931,2015-07-01,,,
2932,2015-07-03,2015-07-28,2015-08-27,2015-08-27
2933,2015-07-04,2015-08-04,2015-08-04,2015-08-04
2934,2015-07-05,2015-07-26,2015-08-15,2015-08-15
2935,2015-07-06,2015-08-17,2015-09-04,2015-09-04
2936,2015-07-08,,,
2937,2015-07-09,2015-08-23,2015-08-23,2015-08-23
2938,2015-07-10,2015-08-17,2015-09-10,2015-09-10
2939,2015-07-11,2015-08-23,2015-09-19,2015-09-19
2940,2015-07-12,2015-08-24,2015-08-24,2015-08-24
2941,2015-07-13,2015-08-13,2015-08-13,2015-08-13
2942,2015-07-15,,,
2943,2015-07-16,2015-08-23,2015-08-23,2015-08-23
2944,2015-07-17,2015-08-26,2015-09-11,2015-09-11
2945,2015-07-18,2015-08-24,2015-08-24,2015-08-24
2946,2015-07-19,,,
2947,2015-07-21,2015-08-27,2015-09-01,2015-09-01
2948,2015-07-22,2015-09-09,2015-10-09,2015-10-21
2949,2015-07-24,2015-09-01,2015-09-24,2015-09-24
2950,2015-07-25,,,
2951,2015-07-26,,,
2952,2015-07-27,,,
2953,2015-07-28,2015-09-11,2015-10-05,2015-10-05
2954,2015-07-30,2015-08-13,2015-09-08,2015-09-08
2955,2015-07-31,,,
2956,2015-08-02,2015-09-09,2015-10-13,2015-10-13
2957,2015-08-03,2015-08-24,2015-09-10,2015-09-10
2958,2015-08-04,,,
2959,2015-08-05,,,
2960,2015-08-07,,,
2961,2015-08-08,2015-09-24,2015-10-17,2015-10-17
2962,2015-08-09,2015-09-05,2015-09-05,2015-09-05
2963,2015-08-10,2015-09-19,2015-09-19,2015-09-19
2964,2015-08-12,2015-09-15,2015-09-15,2015-09-15
2965,2015-08-13,2015-09-21,2015-10-22,2015-11-10
2966,2015-08-14,,,
2967,2015-08-15,,,
2968,2015-08-18,2015-10-13,2015-10-21,2015-10-30
2969,2015-08-19,2015-10-18,2015-10-18,2015-10-18
2970,2015-08-21,2015-09-21,2015-09-21,2015-09-21
2971,2015-08-22,,,
2972,2015-08-23,2015-10-14,2015-10-28,2015-11-15
2973,2015-08-24,2015-10-04,2015-10-27,2015-10-27
2974,2015-08-25,2015-09-30,2015-10-21,2015-11-02
2975,2015-08-26,2015-09-09,2015-10-02,2015-10-02
2976,2015-08-27,2015-09-18,2015-09-18,2015-09-18
2977,2015-08-28,2015-10-10,2015-11-05,2015-11-26
2978,2015-08-29,,,
2979,2015-08-30,,,
2980,2015-08-31,2015-09-25,2015-10-16,2015-10-30
2981,2015-09-01,2015-10-10,2015-10-22,2015-10-26
2982,2015-09-02,2015-10-07,2015-10-09,2015-10-24
2983,2015-09-03,2015-09-15,2015-09-15,2015-09-15
2984,2015-09-04,,,
2985,2015-09-08,2015-10-13,2015-11-08,2015-11-08
2986,2015-09-10,,,
2987,2015-09-11,2015-10-23,2015-10-31,2015-11-19
2988,2015-09-14,2015-10-19,2015-10-19,2015-10-19
2989,2015-09-16,,,
2990,2015-09-19,,,
2991,2015-09-20,2015-09-22,2015-10-09,2015-10-09
2992,2015-09-21,2015-11-30,2016-01-04,2016-01-22
2993,2015-09-22,,,
2994,2015-09-23,2015-10-19,2015-10-19,2015-10-19
2995,2015-09-26,2015-12-06,2015-12-21,2015-12-21
2996,2015-09-27,,,
2997,2015-09-28,,,
2998,2015-09-29,,,
2999,2015-09-30,2015-11-21,2015-12-15,2015-12-15
3000,2015-10-01,,,
3001,2015-10-03,2015-10-28,2015-10-28,2015-10-28
3002,2015-10-04,2015-10-20,2015-10-28,2015-10-28
3003,2015-10-06,,,
3004,2015-10-08,2015-11-16,2015-12-02,2015-12-02
3005,2015-10-10,2015-11-18,2015-12-04,2015-12-04
3006,2015-10-12,,,
3007,2015-10-13,2015-11-18,2015-12-04,2015-12-04
3008,2015-10-14,2015-11-16,2015-11-16,2015-11-16
3009,2015-10-16,,,
3010,2015-10-17,2015-11-22,2015-12-02,2015-12-02
3011,2015-10-18,,,
3012,2015-10-19,2015-12-01,2015-12-17,2015-12-17
3013,2015-10-20,2015-11-04,2015-11-11,2015-11-18
3014,2015-10-21,,,
3015,2015-10-22,2015-11-30,2015-12-26,2015-12-26
3016,2015-10-23,2015-11-15,2015-12-13,2015-12-27
3017,2015-10-24,,,
3018,2015-10-25,2015-12-21,2015-12-21,2015-12-21
3019,2015-10-26,,,
3020,2015-10-27,,,
3021,2015-10-28,,,
3022,2015-10-29,2015-12-19,2016-01-12,2016-01-12
3023,2015-10-30,2015-12-04,2015-12-27,2015-12-27
3024,2015-10-31,2015-11-28,2015-11-28,2015-11-28
3025,2015-11-03,2015-12-20,2015-12-23,2015-12-23
3026,2015-11-04,2015-12-18,2016-01-02,2016-01-02
3027,2015-11-05,,,
3028,2015-11-06,2015-11-30,2015-12-15,2015-12-27
3029,2015-11-07,,,
3030,2015-11-08,2015-12-20,2016-01-20,2016-01-30
3031,2015-11-09,2015-12-10,2016-01-10,2016-01-10
3032,2015-11-11,,,
3033,2015-11-12,,,
3034,2015-11-13,2015-11-29,2015-12-12,2015-12-12
3035,2015-11-15,,,
3036,2015-11-16,2016-01-22,2016-01-23,2016-01-23
3037,2015-11-17,,,
3038,2015-11-18,2015-12-21,2016-01-08,2016-01-24
3039,2015-11-19,,,
3040,2015-11-20,,,
3041,2015-11-21,2015-12-08,2015-12-26,2016-01-06
3042,2015-11-22,2016-01-14,2016-02-12,2016-02-12
3043,2015-11-23,,,
3044,2015-11-24,,,
3045,2015-11-25,,,
3046,2015-11-26,,,
3047,2015-11-27,2016-01-07,2016-02-02,2016-02-25
3048,2015-11-28,2016-01-16,2016-01-16,2016-01-16
